Player_Name_batting,matches_played_batting,runs_scored,balls_faced,strike_rate_batting,average,Player_Name_batting_2,Batting_Hand,Country_batting,bowler,matches_played_bowling,runs_conceded,overs_bowled,wickets_taken,economy_rate,strike_rate_bowling,Player_Name_bowling,Bowling_Skill,Country_bowling
MK Tiwary,83.0,1695.0,1489.0,113.83478844862324,1.1383478844862325,MK Tiwary,Right_Hand,India,MK Tiwary,6.0,83.0,7.5,1.0,11.066666666666666,45.0,MK Tiwary,Legbreak googly,India
MM Patel,12.0,39.0,41.0,95.1219512195122,0.951219512195122,MM Patel,Right_Hand,India,MM Patel,63.0,1733.0,230.33333333333331,82.0,7.523878437047757,16.853658536585368,MM Patel,Right-arm medium-fast,India
MM Sharma,28.0,124.0,137.0,90.51094890510949,0.9051094890510948,MM Sharma,Right_Hand,India,MM Sharma,111.0,3278.0,384.6666666666667,147.0,8.52166377816291,15.700680272108844,MM Sharma,Right-arm medium,India
MN Samuels,14.0,161.0,174.0,92.52873563218392,0.9252873563218392,MN Samuels,Right_Hand,West Indies,MN Samuels,11.0,285.0,36.5,10.0,7.808219178082192,21.9,MN Samuels,Right-arm offbreak,West Indies
MP Stoinis,88.0,1866.0,1366.0,136.60322108345534,1.3660322108345535,MP Stoinis,Right_Hand,Australia,MP Stoinis,62.0,1300.0,138.5,45.0,9.386281588447654,18.466666666666665,MP Stoinis,Right-arm medium,Australia
MR Marsh,36.0,665.0,532.0,125.0,1.25,MR Marsh,Right_Hand,Australia,MR Marsh,34.0,803.0,98.83333333333331,37.0,8.1247892074199,16.027027027027028,MR Marsh,Right-arm medium,Australia
MS Gony,15.0,99.0,76.0,130.26315789473685,1.3026315789473684,MS Gony,Right_Hand,India,MS Gony,44.0,1317.0,154.16666666666666,39.0,8.542702702702703,23.71794871794872,MS Gony,Right-arm medium,India
Mandeep Singh,97.0,1706.0,1418.0,120.31029619181946,1.2031029619181943,Mandeep Singh,Right_Hand,India,Mandeep Singh,2.0,26.0,2.0,0.0,13.0,,Mandeep Singh,Right-arm medium,India
Mashrafe Mortaza,1.0,2.0,2.0,100.0,1.0,Mashrafe Mortaza,Right_Hand,Bangladesh,Mashrafe Mortaza,1.0,59.0,4.666666666666667,1.0,12.642857142857142,28.0,Mashrafe Mortaza,Right-arm fast-medium,Bangladesh
Mohammad Asif,2.0,3.0,6.0,50.0,0.5,Mohammad Asif,Left_Hand,Pakistan,Mohammad Asif,8.0,307.0,33.166666666666664,9.0,9.256281407035177,22.11111111111111,Mohammad Asif,Right-arm fast-medium,Pakistan
Mohammad Hafeez,8.0,64.0,84.0,76.19047619047619,0.7619047619047619,Mohammad Hafeez,Right_Hand,Pakistan,Mohammad Hafeez,4.0,71.0,10.5,2.0,6.761904761904762,31.5,Mohammad Hafeez,Right-arm offbreak,Pakistan
