bowler,season,matches_played,balls_bowled,runs_conceded,wickets,average,economy,strike_rate
TA Boult,2017,6.0,148.0,222.0,5.0,44.4,9.0,29.6
TA Boult,2018,14.0,327.0,476.0,20.0,23.8,8.73394495412844,16.35
TA Boult,2019,5.0,120.0,163.0,5.0,32.6,8.15,24.0
TA Boult,2020,15.0,354.0,473.0,26.0,18.192307692307693,8.016949152542374,13.615384615384615
TA Boult,2021,14.0,317.0,409.0,14.0,29.214285714285715,7.7413249211356465,22.642857142857142
TA Boult,2022,16.0,387.0,501.0,18.0,27.833333333333332,7.767441860465116,21.5
TA Boult,2023,10.0,235.0,316.0,13.0,24.307692307692307,8.068085106382979,18.076923076923077
TA Boult,2024,15.0,333.0,448.0,16.0,28.0,8.072072072072071,20.8125
TG Southee,2011,5.0,119.0,167.0,4.0,41.75,8.420168067226891,29.75
TG Southee,2014,3.0,63.0,78.0,0.0,0.0,7.428571428571429,0.0
TG Southee,2015,7.0,175.0,255.0,9.0,28.333333333333332,8.742857142857142,19.444444444444443
TG Southee,2016,11.0,268.0,333.0,9.0,37.0,7.455223880597015,29.77777777777778
TG Southee,2017,3.0,66.0,97.0,3.0,32.333333333333336,8.818181818181818,22.0
TG Southee,2018,8.0,183.0,263.0,8.0,32.875,8.62295081967213,22.875
TG Southee,2019,3.0,58.0,123.0,1.0,123.0,12.724137931034484,58.0
TG Southee,2021,3.0,74.0,95.0,5.0,19.0,7.702702702702703,14.8
TG Southee,2022,9.0,220.0,284.0,16.0,17.75,7.745454545454546,13.75
TG Southee,2023,2.0,36.0,79.0,2.0,39.5,13.166666666666666,18.0
TK Curran,2018,5.0,64.0,118.0,6.0,19.666666666666668,11.0625,10.666666666666666
TK Curran,2020,5.0,116.0,210.0,3.0,70.0,10.862068965517242,38.666666666666664
TK Curran,2021,3.0,72.0,104.0,4.0,26.0,8.666666666666666,18.0
TL Suman,2009,5.0,91.0,108.0,6.0,18.0,7.120879120879121,15.166666666666666
TL Suman,2010,2.0,13.0,24.0,0.0,0.0,11.076923076923078,0.0
TL Suman,2011,3.0,36.0,50.0,0.0,0.0,8.333333333333334,0.0
TL Suman,2013,1.0,12.0,16.0,1.0,16.0,8.0,12.0
TM Dilshan,2008,1.0,6.0,3.0,1.0,3.0,3.0,6.0
TM Dilshan,2009,8.0,96.0,99.0,0.0,0.0,6.1875,0.0
TM Dilshan,2010,4.0,49.0,70.0,3.0,23.333333333333332,8.571428571428571,16.333333333333332
TM Dilshan,2011,6.0,74.0,108.0,1.0,108.0,8.756756756756756,74.0
TM Dilshan,2012,5.0,44.0,78.0,0.0,0.0,10.636363636363637,0.0
TM Dilshan,2013,1.0,6.0,10.0,0.0,0.0,10.0,0.0
TM Head,2017,5.0,48.0,81.0,3.0,27.0,10.125,16.0
TM Head,2024,1.0,10.0,32.0,0.0,0.0,19.2,0.0
TP Sudhindra,2012,3.0,74.0,137.0,1.0,137.0,11.108108108108107,74.0
TS Mills,2017,5.0,111.0,157.0,5.0,31.4,8.486486486486486,22.2
TS Mills,2022,5.0,107.0,192.0,6.0,32.0,10.766355140186917,17.833333333333332
TU Deshpande,2020,5.0,110.0,193.0,3.0,64.33333333333333,10.527272727272727,36.666666666666664
TU Deshpande,2022,2.0,43.0,67.0,1.0,67.0,9.348837209302324,43.0
TU Deshpande,2023,16.0,368.0,580.0,24.0,24.166666666666668,9.456521739130434,15.333333333333334
TU Deshpande,2024,13.0,310.0,435.0,18.0,24.166666666666668,8.419354838709678,17.22222222222222
Tejas Baroka,2017,1.0,21.0,33.0,0.0,0.0,9.428571428571429,0.0
Tilak Varma,2022,2.0,12.0,13.0,0.0,0.0,6.5,0.0
