Player,Role,Auction Price,Nation,Team,Auction Price (in INR)
Nandre Burger,Bowler,INR 50 Lakh,South Africa,Rajasthan Royals,5000000.0
Virat Kohli,Batsman,INR 15 CR(R),India,Royal Challengers Bangalore,
Suyash Prabhudessai,Batsman,INR 30 Lakhs(R),India,Royal Challengers Bangalore,3000000.0
Faf du Plessis,Batsman,INR 7 crores(R),South Africa,Royal Challengers Bangalore,70000000.0
Vyshak Vijay Kumar,Bowler,INR 20 Lakh(R),India,Royal Challengers Bangalore,2000000.0
Anuj Rawat,WK-Batsman,INR 3.40 crores(R),India,Royal Challengers Bangalore,34000000.0
Dinesh Karthik,WK-Batsman,INR 5.50 crores(R),India,Royal Challengers Bangalore,55000000.0
Mohammed Siraj,Bowler,INR 7 CR(R),India,Royal Challengers Bangalore,
Karn Sharma,Bowler,INR 50 Lakhs(R),India,Royal Challengers Bangalore,5000000.0
Akash Deep,Bowler,INR 20 Lakhs(R),India,Royal Challengers Bangalore,2000000.0
Glenn Maxwell,All-rounder,INR 11 CR(R),Australia,Royal Challengers Bangalore,
Mahipal Lomror,All-rounder,INR 95 Lakhs(R),India,Royal Challengers Bangalore,9500000.0
Himanshu Sharma,Bowler,INR 20 Lakhs(R),India,Royal Challengers Bangalore,2000000.0
Manoj Bhandage,Allrounder,INR 20 Lakhs(R),India,Royal Challengers Bangalore,2000000.0
Rajan Kumar,Bowler,INR 70 Lakhs(R),India,Royal Challengers Bangalore,7000000.0
Rajat Patidar,Batsman,INR 20 Lakhs(R),India,Royal Challengers Bangalore,2000000.0
Will Jacks,Allrounder,INR 3.2 crore(R),England,Royal Challengers Bangalore,
Mayank Dagar,Allrounder,Traded from SRH,India,Royal Challengers Bangalore,
Reece Topley,Bowler,INR 1.9 crore(R),England,Royal Challengers Bangalore,
Cameron Green,Allrounder,Traded from MI,Australia,Royal Challengers Bangalore,
Alzarri Joseph,Bowler,INR 11.50 Crores,West Indies,Royal Challengers Bangalore,115000000.0
Yash Dayal,Bowler,INR 5 Crore,India,Royal Challengers Bangalore,50000000.0
Tom Curran,Allrounder,INR 1.5 Crore,England,Royal Challengers Bangalore,15000000.0
Saurav Chauhan,Batsman,INR 20 Lakh,India,Royal Challengers Bangalore,2000000.0
Lockie Ferguson,Bowler,INR 2 Crore,New Zealand,Royal Challengers Bangalore,20000000.0
Swapnil Singh,Allrounder,INR 20 Lakh,India,Royal Challengers Bangalore,2000000.0
Aiden Markram,Batsman,INR 2.60 Crores(R),South Africa,Sunrisers Hyderabad,26000000.0
Rahul Tripathi,Batsman,INR 8.50 Crores(R),India,Sunrisers Hyderabad,85000000.0
Glenn Phillips,WK-Batsman,INR 1.50 Crores(R),New Zealand,Sunrisers Hyderabad,15000000.0
Umran Malik,Bowler,INR 4Cr(R),India,Sunrisers Hyderabad,40000000.0
Fazal Haq Farooqi,Bowler,INR 50 Lakhs(R),Afghanistan,Sunrisers Hyderabad,5000000.0
T Natarajan,Bowler,INR 4 Crores(R),India,Sunrisers Hyderabad,40000000.0
Bhuvneshwar Kumar,Bowler,INR 4.20 Crores(R),India,Sunrisers Hyderabad,42000000.0
Abdul Samad,All-rounder,INR 4Cr(R),India,Sunrisers Hyderabad,40000000.0
Marco Jansen,All-rounder,INR 4.20 Crores(R),South Africa,Sunrisers Hyderabad,42000000.0
Abhishek Sharma,All-rounder,INR 6.50 Crores(R),India,Sunrisers Hyderabad,65000000.0
Washington Sundar,All-rounder,INR 8.75 Crores(R),India,Sunrisers Hyderabad,87500000.0
Mayank Agarwal,Batsman,INR 8.25 crores(R),India,Sunrisers Hyderabad,82500000.0
Heinrich Klaasen,WK-Batsman,INR 5.25 crore(R),South Africa,Sunrisers Hyderabad,
Mayank Markande,Bowler,INR 50 lakh(R),India,Sunrisers Hyderabad,
Sanvir Singh,All-rounder,INR 20 lakh(R),India,Sunrisers Hyderabad,
Upendra Yadav,WK-Batsman,INR 25 lakh(R),India,Sunrisers Hyderabad,
Shahbaz Ahamad,Allrounder,Traded from RCB,India,Sunrisers Hyderabad,
Nitish Kumar Reddy,WK-Batsman,INR 20 lakh(R),India,Sunrisers Hyderabad,
Anmolpreet Singh,Batman,INR 20 lakh(R),India,Sunrisers Hyderabad,
Travis Head,Batman,INR 6.80 Crores,Australia,Sunrisers Hyderabad,68000000.0
Wanindu Hasaranga,Allrounder,INR 1.50 Crores,Sri Lanka,Sunrisers Hyderabad,15000000.0
Pat Cummins,All-rounder,INR 20.50 Crores,Australia,Sunrisers Hyderabad,205000000.0
Jaydev Unadkat,Bowler,INR 1.60 Crores,India,Sunrisers Hyderabad,16000000.0
Akash Singh,Bowler,INR 20 Lakh,India,Sunrisers Hyderabad,2000000.0
Jhathavedh Subramanyan,Bowler,INR 20 Lakh,India,Sunrisers Hyderabad,2000000.0
