Player,Status,Type,Country,Teams,Base Price,Sold Price
Rohit Rayudu,UnSold,All-Rounder,Ind,,"2,000,000",
Aniketh Reddy,UnSold,All-Rounder,Ind,,"2,000,000",
Mohit Redkar,UnSold,All-Rounder,Ind,,"2,000,000",
Akash Sengupta,UnSold,All-Rounder,Ind,,"2,000,000",
Suryansh Shedge,UnSold,All-Rounder,Ind,,"2,000,000",
Aradhya Shukla,UnSold,All-Rounder,Ind,,"2,000,000",
Utkarsh Singh,UnSold,All-Rounder,Ind,,"2,000,000",
Shashank Singh,UnSold,All-Rounder,Ind,,"2,000,000",
Prenelan Subrayen,UnSold,All-Rounder,SA,,"2,000,000",
Ravi Teja,UnSold,All-Rounder,Ind,,"2,000,000",
Akash Vashisht,UnSold,All-Rounder,Ind,,"2,000,000",
Mohit Ahlawat,UnSold,Wicket-Keeper,Ind,,"2,000,000",
G. Ajitesh,UnSold,Wicket-Keeper,Ind,,"2,000,000",
L.R. Chethan,UnSold,Wicket-Keeper,Ind,,"2,000,000",
Gourav Choudhary,UnSold,Wicket-Keeper,Ind,,"2,000,000",
Harvik Desai,UnSold,Wicket-Keeper,Ind,,"2,000,000",
Shakir Gandhi,UnSold,Wicket-Keeper,Ind,,"2,000,000",
Sumit Ghadigaonkar,UnSold,Wicket-Keeper,Ind,,"2,000,000",
Baba Indrajith,UnSold,Wicket-Keeper,Ind,,"2,000,000",
Bhagmender Lather,UnSold,Wicket-Keeper,Ind,,"2,000,000",
Anmol Malhotra,UnSold,Wicket-Keeper,Ind,,"2,000,000",
Darshan Misal,UnSold,Wicket-Keeper,Ind,,"2,000,000",
Nikhil Naik,UnSold,Wicket-Keeper,Ind,,"2,000,000",
Prasad Pawar,UnSold,Wicket-Keeper,Ind,,"2,000,000",
Mahesh Pithiya,UnSold,Wicket-Keeper,Ind,,"2,000,000",
William Salzmann,UnSold,Wicket-Keeper,Aus,,"2,000,000",
Bipin Saurabh,UnSold,Wicket-Keeper,Ind,,"2,000,000",
B.R. Sharath,UnSold,Wicket-Keeper,Ind,,"2,000,000",
K.L. Shrijith,UnSold,Wicket-Keeper,Ind,,"2,000,000",
Avneesh Sudha,UnSold,Wicket-Keeper,Ind,,"2,000,000",
Aditya Tare,UnSold,Wicket-Keeper,Ind,,"2,000,000",
Nihal Ullal,UnSold,Wicket-Keeper,Ind,,"2,000,000",
K.M Asif,UnSold,Bowler,Ind,,"2,000,000",
Mohit Avasthi,UnSold,Bowler,Ind,,"2,000,000",
Ottneil Baartman,UnSold,Bowler,SA,,"2,000,000",
Basit Bashir,UnSold,Bowler,Ind,,"2,000,000",
Waseem Bashir,UnSold,Bowler,Ind,,"2,000,000",
Sachin Bhosale,UnSold,Bowler,Ind,,"2,000,000",
Devendra Singh Bora,UnSold,Bowler,Ind,,"2,000,000",
Gurnoor Singh Brar,UnSold,Bowler,Ind,,"2,000,000",
Saurabh Dubey,UnSold,Bowler,Ind,,"2,000,000",
Mrinmoy Dutta,UnSold,Bowler,Ind,,"2,000,000",
Vishal Godara,UnSold,Bowler,Ind,,"2,000,000",
Money Grewal,UnSold,Bowler,Ind,,"2,000,000",
Arpit Guleria,UnSold,Bowler,Ind,,"2,000,000",
Mukhtar Hussain,UnSold,Bowler,Ind,,"2,000,000",
Shamar Joseph,UnSold,Bowler,WI,,"2,000,000",
Mohammed Kaif,UnSold,Bowler,Ind,,"2,000,000",
Shubham Kapse,UnSold,Bowler,Ind,,"2,000,000",
Devang Karamta,UnSold,Bowler,Ind,,"2,000,000",
Kulwant Khejroliya,UnSold,Bowler,Ind,,"2,000,000",
Ravi Kumar,UnSold,Bowler,Ind,,"2,000,000",
Ashwani Kumar,UnSold,Bowler,Ind,,"2,000,000",
Raj Limbani,UnSold,Bowler,Ind,,"2,000,000",
Kwena Maphaka,UnSold,Bowler,Ind,,"2,000,000",
Lukman Hussain Meriwala,UnSold,Bowler,Ind,,"2,000,000",
Venkatesh Muralidhara,UnSold,Bowler,Ind,,"2,000,000",
